group_id,n_obs,eps_ols_group,pvalue_ols_group,eps_neural_mean,eps_neural_std
DELI,48,-5.008689134728973,0.004248859802509888,1.8795768,0.058001883
GROCERY,48,-3.233900389300519,0.32321041169169873,1.5002123,0.041652415
PRODUCE,48,-3.1038136323556778,0.08945206003468102,1.3878139,0.060053147
SALAD BAR,48,-2.5466009901706874,0.0074666140011260705,1.7760906,0.06690523
FLORAL,48,-0.9076834800108937,0.06516380548898523,2.0072172,0.03531716
MEAT-PCKGD,48,-0.7402003694457244,0.6879843842246691,1.7238802,0.052941144
SEAFOOD,48,-0.7123771904113214,0.21200765441958455,1.9949474,0.03625158
SPIRITS,48,-0.6048119419270339,0.35422863430622,2.0503507,0.03340488
FROZEN GROCERY,38,-0.48274372495755025,0.05610088008581333,1.1389707,0.6479717
TRAVEL & LEISUR,43,-0.47237214057602467,0.37042755191750243,1.6978084,0.18703346
MEAT,48,-0.18394827639261235,0.8747180861173895,1.9538532,0.04675105
MISC. TRANS.,48,-0.17917724410301278,0.44444706737669737,1.4670709,0.43186906
CHEF SHOPPE,20,-0.13794003568851393,0.8000840149030408,1.7870352,0.25365245
AUTOMOTIVE,20,-0.07720623210399792,0.5158412634030605,1.7358415,0.64781106
KIOSK-GAS,47,-0.02027041262638829,0.8644748235220332,0.06369017,0.5527069
SEAFOOD-PCKGD,48,-0.009055506773309352,0.9911003954576726,1.936966,0.052079648
COUP/STR & MFG,44,0.06243716225131622,0.2790400196231377,0.06939331,0.82513505
DRUG GM,48,0.07690346163630091,0.9646191511316089,1.7703972,0.025778672
RESTAURANT,37,0.09375020063681905,0.5727019634901503,1.7501231,0.35128358
GARDEN CENTER,36,0.17139256832999394,0.6410432634941341,1.9625282,0.16463014
COSMETICS,48,0.3728740624289135,0.6269046112702416,1.8500404,0.087933585
PASTRY,48,0.431162708846895,0.5979359131240665,1.7125047,0.0628268
MISC SALES TRAN,48,0.5078042843506592,0.5948204518092393,1.6533179,0.235949
NUTRITION,48,2.5360276721725805,0.039424148380672694,1.6269574,0.07546317
